"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax2"
"Racer","None"
"Championship",""
"Comment",""
"Date","Sunday, November 9, 2025"
"Time","11:44 AM"
"Sample Rate","20"
"Duration","817.987"
"Segment","Session"
"Beacon Markers","74.796","138.395","199.499","259.205","319.262","378.506","437.769","497.971","557.413","616.334","676.201","735.433","800.672","817.987"
"Segment Times","1:14.796","1:03.599","1:01.104","0:59.706","1:00.057","0:59.244","0:59.263","1:00.202","0:59.442","0:58.921","0:59.867","0:59.232","1:05.239","0:17.315"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","MagnetomX","MagnetomY","MagnetomZ","Internal Battery","RPM","Calculated Gear","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","mG","mG","mG","V","rpm","#","m"

"1.900","1.4628","16","0.0158","0.0573","-0.8579","135.6213","0.0000","409.9260","5.0000","0.1180","10000.0000","41.56634419","44.94941277","-0.5933","0.0594","-0.7402","-7.7215","-2.0335","-2.8488","-250.6625","339.4875","220.7688","4.0050","4008.3501","0.0000","0.1194"
"1.950","1.6262","16","0.0169","0.0625","-1.3962","134.9683","0.0000","409.9241","5.0000","0.1105","10000.0000","41.56634397","44.94941298","-0.6182","0.0723","-0.7473","-7.2740","-2.1488","-2.2154","-247.3625","340.4750","220.6125","4.0045","3874.8000","0.0000","0.1406"
"2.000","1.7089","16","0.0006","0.0532","-0.8682","135.3250","0.0000","409.9371","5.0000","0.1170","10000.0000","41.56634383","44.94941322","-0.6040","0.0545","-0.7559","-3.5107","-1.1418","-1.1378","-241.4812","341.4875","221.4812","4.0040","3738.8501","0.0000","0.1639"
"2.050","1.5271","16","-0.0069","0.0419","-0.7810","132.1022","0.0000","409.9347","5.0000","0.1100","10000.0000","41.56634370","44.94941332","-0.5459","0.0417","-0.7798","-2.8932","-0.1424","-1.1013","-239.1250","342.2250","220.2000","4.0035","3934.9250","0.0000","0.1861"
"2.100","1.3618","16","-0.0069","0.0408","0.7687","136.5534","0.0000","409.9407","5.0000","0.1180","10000.0000","41.56634360","44.94941346","-0.5171","0.0656","-0.7988","-3.0356","-0.5381","-0.9193","-240.1000","342.7500","216.0813","4.0030","4554.1001","0.0000","0.2062"
"2.150","1.2084","16","0.0053","0.0355","2.5477","135.4210","0.0000","409.9591","5.0000","0.1195","10000.0000","41.56634356","44.94941366","-0.4817","0.0284","-0.7849","-0.5779","-1.3770","-0.7213","-240.4563","342.6375","216.7625","4.0025","4824.6001","0.0000","0.2242"
"2.200","1.2931","16","0.0045","0.0357","1.7913","127.7222","0.0000","409.9609","5.0000","0.1100","10000.0000","41.56634340","44.94941387","-0.5376","-0.0179","-0.8311","1.0433","-2.3274","-0.2521","-239.5188","341.7750","223.3687","4.0020","4801.3999","0.0000","0.2416"
"2.250","1.7128","16","-0.0139","0.0462","1.3084","130.4162","0.0000","409.9547","5.0000","0.1100","10000.0000","41.56634323","44.94941417","-0.6160","0.0640","-0.8491","0.9229","-2.3642","0.2509","-242.1125","342.0875","224.7563","4.0015","4591.0000","0.0000","0.2627"
"2.300","2.1572","16","-0.0245","0.0486","0.3879","129.2936","0.0000","409.9514","5.0000","0.1100","10000.0000","41.56634296","44.94941446","-0.5703","0.0414","-0.8589","5.3470","-1.1390","0.7503","-249.7250","343.9625","219.9750","4.0010","4548.3501","0.0000","0.2895"
"2.350","2.2734","16","-0.0117","0.0912","-0.0240","131.1166","0.0000","409.9560","5.0000","0.1100","10000.0000","41.56634286","44.94941477","-0.4868","0.0210","-0.9180","14.0973","-0.1254","2.3640","-251.7437","343.6625","217.1500","4.0005","4810.6748","0.0000","0.3202"
