index,lat,lon,unk_u16,speed_raw
175,41.566665,44.949324,800,100
176,41.566678,44.949306,800,100
177,41.566691,44.949287,800,100
178,41.566703,44.949268,800,100
179,41.566716,44.94925,800,100
180,41.56673,44.949232,800,100
181,41.566743,44.949214,800,100
182,41.566757,44.949197,800,100
183,41.566772,44.949181,800,100
184,41.566787,44.949167,800,100
185,41.566803,44.949153,800,100
186,41.56682,44.949142,800,100
187,41.566838,44.949134,800,100
188,41.566856,44.949129,800,100
189,41.566875,44.949128,800,100
190,41.566894,44.94913,800,100
191,41.566912,44.949137,800,100
192,41.566929,44.949147,800,100
193,41.566945,44.949161,800,100
194,41.566958,44.94918,800,100
195,41.566969,44.9492,800,100
196,41.566978,44.949222,800,100
197,41.566985,44.949246,800,100
198,41.566989,44.94927,800,100
199,41.566992,44.949295,800,100
200,41.566992,44.94932,800,100
201,41.566991,44.949345,800,100
202,41.566988,44.94937,800,100
203,41.566983,44.949395,800,100
204,41.566977,44.949418,800,100
205,41.566969,44.949441,800,100
206,41.56696,44.949463,800,100
207,41.56695,44.949484,800,100
208,41.566938,44.949505,800,100
209,41.566926,44.949524,800,100
210,41.566914,44.949543,800,100
211,41.566901,44.949561,800,100
212,41.566887,44.949579,800,100
213,41.566873,44.949595,800,100
214,41.566858,44.949611,800,100
215,41.566843,44.949626,800,100
216,41.566827,44.94964,800,100
217,41.566811,44.949654,800,100
218,41.566795,44.949667,800,100
219,41.566779,44.94968,800,100
220,41.566763,44.949693,800,100
221,41.566747,44.949707,800,100
222,41.566731,44.94972,800,100
223,41.566715,44.949733,800,100
224,41.566699,44.949747,800,100
225,41.566683,44.949761,800,100
226,41.566667,44.949775,800,100
227,41.566652,44.94979,800,100
228,41.566637,44.949805,800,100
229,41.566622,44.94982,800,100
230,41.566607,44.949836,800,100
231,41.566593,44.949853,800,100
232,41.566579,44.94987,800,100
233,41.566566,44.949888,800,100
234,41.566553,44.949906,800,100
235,41.566541,44.949926,800,100
236,41.56653,44.949947,800,100
237,41.566521,44.949969,800,100
238,41.566513,44.949991,800,100
239,41.566506,44.950015,800,100
240,41.566501,44.950039,800,100
241,41.566498,44.950064,800,100
242,41.566496,44.950089,800,100
243,41.566497,44.950114,800,100
244,41.566499,44.950139,800,100
245,41.566504,44.950164,800,100
246,41.56651,44.950187,800,100
247,41.566518,44.95021,800,100
248,41.566527,44.950232,800,100
249,41.566539,44.950252,800,100
250,41.566552,44.95027,800,100
